id,city_id,cityname,pack_id,fhash,fname,ctype
8,3205309,BR-ES-Vitoria,23,3a92899e5a7e87acb92cca7198cc0e894bac9ac96c2192b12b668d1e1d598898,lote.zip,std
11,4104808,BR-PR-Cascavel,16,305df61c61e90caef0a0409a09b7d01a56beb6e107ae4430188617c7058f02a1,Bairros.zip,std
12,4104808,BR-PR-Cascavel,16,f4fe1f604f927b1d07ae56ec11ea9e3c4c64a4d02c01ce80ad041beadab165dc,Logradouros.zip,std
13,4104808,BR-PR-Cascavel,16,ae8dc027fe9e0983b553508c3a313061f7f466c50d66124c86c96254f70c4c15,Lotes.zip,std
17,3303302,BR-RJ-Niteroi,18,0692a8ab9b2eef6eac542a265c98e5a84198cd75002ad2a30d49b7e4420db793,Empresas.zip,std
18,3303302,BR-RJ-Niteroi,18,fd0fcfd937ee3d20620862cce6e870679518f4756063f3045c7f65e6b9ca9981,Limite_de_Bairros-shp.zip,std
19,3303302,BR-RJ-Niteroi,18,5f7e5ecf8e15a9c13323cb9f4fddadee80eb3e253bcc270dc8c134400af3a8b2,Logradouro.zip,std
20,3303302,BR-RJ-Niteroi,18,4bde69d0057c0785598f98963fdae3dc90420fb8f163652d70b659210da0ae2b,Lotes.zip,std
23,3525904,BR-SP-Jundiai,28,512fe4c44525a211c68415da0ab06d565a6ba3653739809d46404d6653ce5064,edificacoes.zip,std
24,3525904,BR-SP-Jundiai,28,64b4af485458099065ff5fcf2c4e37f5d30cad57d746a7550129fec7e90079d8,L_8683-2016_m12_vias_func_urbanistica.zip,std
25,3525904,BR-SP-Jundiai,28,ce76963d0679cbbb3f57e7ce53b32ccc3afd1768299509f539b4bdd22074e7e8,logradouro.zip,std
26,3525904,BR-SP-Jundiai,28,4c4a1565e1f7d5675ff2d546d0e6a85acd7bbaa018503601dd07e1be80dee130,lotes_jund.zip,std
27,3525904,BR-SP-Jundiai,28,7995d41f628e31599f80b367650d363f47e75e1515be9fefabefca91189608a5,v_bairros_populacao.zip,std
28,3526407,BR-SP-LaranjalPaulista,32,d0f8c1d174d7bd2ad5ea593cc13cc3de068f6670e72d0d2406ff728e44bd5a1e,SIG_CAD_LARANJAL.dwg,std
31,3548500,BR-SP-Santos,20,b192fba419ef8133861a9051d2382d08476193eafbd8932f0ea05456157c301c,SHAPEFILE.zip,std
32,3548708,BR-SP-SaoBernardoCampo,25,350b605174967b94ef49ce1bbac0352dd76e2175e5eae1b8e5b730cd9950d133,bairro_SBC.zip,std
14,4119152,BR-PR-Pinhais,29,7d96c19771ca271623058eeb9fdc4ceb67ff68c3937a7b66e7ccdb1a4e6580fb,BAIRROS.rar,std
15,4119152,BR-PR-Pinhais,29,56d32368409f4ba2c99afadc7ad307bd8cc660b93d38e57936da313fafde1f13,LOTES.rar,std
16,4119152,BR-PR-Pinhais,29,27c0c467222a668837f62e9f40ac85f94685ea50f3d655207384f2343d13f573,RUAS.rar,std
21,4309209,BR-RS-Gravatai,14,1ad669693352407105ccdeb37a4398d62b0accb25888122c84afe2788c121c7b,OPENSTREETMAP.rar,std
33,3548708,BR-SP-SaoBernardoCampo,25,55aacd5dfb6c5a22a9da1122cb738f5b13b2eae4fd35158c0e42cdc362770678,limite_municipal_SBC.zip,std
34,3548708,BR-SP-SaoBernardoCampo,25,3269bacc09d450b4d7496a2bc749ece94b1f48462ba0aae70d902404256bc433,logradouro_SBC.zip,std
35,3548708,BR-SP-SaoBernardoCampo,25,d4985405060cc1887962a4278b4d68ada6ffd3ed72f296bd72d65abc4897cd2d,lote_SBC.zip,std
36,3548708,BR-SP-SaoBernardoCampo,25,22ecd5ef4ca76adef213fa422d9b5e4198f0667df598c511c30e512bb10aaedd,Q_Endereco_SBC.zip,std
38,3550308,BR-SP-SaoPaulo,35,07e6c893a8d94f940e79d54bec151255b6de73141a1fb74a19654660b04dd978,SHP_edificacao_AGUA_RASA.zip,edificacoes
39,3550308,BR-SP-SaoPaulo,35,730a87396733f9b6e16cefc3af077ed77cd12d82690298cb4d5b258e4b2ccca7,SHP_edificacao_ALTO_DE_PINHEIROS.zip,edificacoes
40,3550308,BR-SP-SaoPaulo,35,6d32bcbba5488de7109949980cf67fcdd77c4732b4767664b7afd4734dedb0ba,SHP_edificacao_ANHANGUERA.zip,edificacoes
41,3550308,BR-SP-SaoPaulo,35,2ecd4061720c09d1630be2bd837a16b0c38f033e1192de77b00dd58fa2a7088a,SHP_edificacao_ARICANDUVA.zip,edificacoes
42,3550308,BR-SP-SaoPaulo,35,d083dbf6219c9cbc41813232c865b4ab999afb81614a3f7ea0a5dfd46ff767da,SHP_edificacao_ARTUR_ALVIM.zip,edificacoes
43,3550308,BR-SP-SaoPaulo,35,f135ab79a99d03bf4be8807fa1ff9b04c72b2fa4db8137439c06af5755b25213,SHP_edificacao_BARRA_FUNDA.zip,edificacoes
44,3550308,BR-SP-SaoPaulo,35,798c78e2aa8ec22b5c8cb882f11ee3a10f89f9bb994c5a044b1441732f1f54af,SHP_edificacao_BELA_VISTA.zip,edificacoes
45,3550308,BR-SP-SaoPaulo,35,89c904a7c08162f77465e3ccf4bef9ac990d7a8c69fbb45ea2339f8de6352fa6,SHP_edificacao_BELEM.zip,edificacoes
46,3550308,BR-SP-SaoPaulo,35,ef4b902410fdcab26e5ce4354b0aa3ba0c2c27b7755b8302170de8b12e934ddb,SHP_edificacao_BOM_RETIRO.zip,edificacoes
47,3550308,BR-SP-SaoPaulo,35,803a720e3070b12affd44e812b0d052389c09f534e4856302cab6dd86be18f66,SHP_edificacao_BRASILANDIA.zip,edificacoes
48,3550308,BR-SP-SaoPaulo,35,e408aa5073da2982a11f5ec0868c2387d80b028787fa9fbb296004faf58305b3,SHP_edificacao_BRAS.zip,edificacoes
49,3550308,BR-SP-SaoPaulo,35,3fba7d6620c833a52565d27ff1d3f3f768cc03835316b8d130c281caa4fa5fca,SHP_edificacao_BUTANTA.zip,edificacoes
50,3550308,BR-SP-SaoPaulo,35,6c7bf5d8a9bc8e25d1ee7e1e171f0ced99065612ff682935e0b6b1334ee289bf,SHP_edificacao_CACHOEIRINHA.zip,edificacoes
51,3550308,BR-SP-SaoPaulo,35,7576d87fef8d6a98b025c4c9fb37c83333856ce634136acbf325fa1649063094,SHP_edificacao_CAMBUCI.zip,edificacoes
52,3550308,BR-SP-SaoPaulo,35,11bd7706345b8683d9bf079746488898ab7b34830edece10537348379b2b129f,SHP_edificacao_CAMPO_BELO.zip,edificacoes
53,3550308,BR-SP-SaoPaulo,35,962177886b2579846fe178689914609045b1dffde4876058585021411107f517,SHP_edificacao_CAMPO_GRANDE.zip,edificacoes
54,3550308,BR-SP-SaoPaulo,35,95db189b944f25d65758e3e9141c5c42a43c9afe5b8572adb8f192dba888b57f,SHP_edificacao_CAMPO_LIMPO.zip,edificacoes
55,3550308,BR-SP-SaoPaulo,35,9bf0a5945b635e945bbb702e16ade0fecb5ac74a085bf962232b4382e9de01d0,SHP_edificacao_CANGAIBA.zip,edificacoes
56,3550308,BR-SP-SaoPaulo,35,9f4ce8e6d84a5a8efaa252327c54156b3a26514e5385b2c027cd94d30f6fc402,SHP_edificacao_CAPAO_REDONDO.zip,edificacoes
57,3550308,BR-SP-SaoPaulo,35,79399f1eeeef4fabb2d1e0f49de628c4b3a72fb5af1dd55ab66aa7239bec226d,SHP_edificacao_CARRAO.zip,edificacoes
58,3550308,BR-SP-SaoPaulo,35,e333dac596b7949f1661133dd2d200e14c5bff42a02e76d6b14fcb25c4f0003d,SHP_edificacao_CASA_VERDE.zip,edificacoes
59,3550308,BR-SP-SaoPaulo,35,fe567b73a179917a12a063db4a64c8cfdc31f85a16ea004c3d886902cebf572e,SHP_edificacao_CIDADE_ADEMAR.zip,edificacoes
60,3550308,BR-SP-SaoPaulo,35,3358a0a0e490bc7355806a64b2ad0fa9a7196f5fccb874444d3283016d7308fa,SHP_edificacao_CIDADE_DUTRA.zip,edificacoes
61,3550308,BR-SP-SaoPaulo,35,d0ae14913961a7e59d4fcb781b34382a1e9e278d7cc4a9271f606ecdafe4f012,SHP_edificacao_CIDADE_LIDER.zip,edificacoes
62,3550308,BR-SP-SaoPaulo,35,4ddae1e9d24dc736647ce4047424a39bfff027614a8f9484b76735dad5482395,SHP_edificacao_CIDADE_TIRADENTES.zip,edificacoes
63,3550308,BR-SP-SaoPaulo,35,962d051014dec9fbd7da0740e8864b445a82bd1f973f37f620e9141f4e05ef35,SHP_edificacao_CONSOLACAO.zip,edificacoes
64,3550308,BR-SP-SaoPaulo,35,c07073b4dfd676902f5f3c661ad005ddd9c9d96e7508a997da5d2f9a29515a6f,SHP_edificacao_CURSINO.zip,edificacoes
65,3550308,BR-SP-SaoPaulo,35,f61de208ee8ce4063484fc84e047d7896fdf9a538a5698a725dd3ae652768776,SHP_edificacao_ERMELINO_MATARAZZO.zip,edificacoes
66,3550308,BR-SP-SaoPaulo,35,3f60786431ebed928dd3ebd7e58e0158ffc2722a584ed9fd6f18df8a93b67554,SHP_edificacao_FREGUESIA_DO_O.zip,edificacoes
67,3550308,BR-SP-SaoPaulo,35,c38c128599b616fdfeaac506bbbc8cb784077ac72ffc952ee1b6ef3b42f99468,SHP_edificacao_GRAJAU.zip,edificacoes
68,3550308,BR-SP-SaoPaulo,35,20a9996340b528bd2624888684672af57865b0156b6a67bca98f3a0cf369fe0d,SHP_edificacao_GUAIANASES.zip,edificacoes
69,3550308,BR-SP-SaoPaulo,35,3242d9c1c1519cc1d51067e4da6898a69660c3dabf626c12d689bb1b3b5523fb,SHP_edificacao_IGUATEMI.zip,edificacoes
70,3550308,BR-SP-SaoPaulo,35,489a10e16125e888eff87b870123552a3c0da9dbf2c23e91f6c179a6e1fee894,SHP_edificacao_IPIRANGA.zip,edificacoes
71,3550308,BR-SP-SaoPaulo,35,b6e9a5f445d74cb342c0f6394d551754959a2a3a26c11ddb1436fbfcd6f78ebe,SHP_edificacao_ITAIM_BIBI.zip,edificacoes
72,3550308,BR-SP-SaoPaulo,35,facab87afc20cf1a56de14f187d403d7c1282e1e06fa007ed26ae1193cae7858,SHP_edificacao_ITAIM_PAULISTA.zip,edificacoes
73,3550308,BR-SP-SaoPaulo,35,74cd1f2607507094260a37900c226114d766c982078925b095b53f4f6167dec4,SHP_edificacao_ITAQUERA.zip,edificacoes
74,3550308,BR-SP-SaoPaulo,35,c7c623ee19a2a8b27da611e015ea2dc891c40d35ec34568ffb93b0b13eb5e8d6,SHP_edificacao_JABAQUARA.zip,edificacoes
75,3550308,BR-SP-SaoPaulo,35,6a2ea9eb99888604cc163ea4714e4e66d76185282a3c5fb0296fcb2b688deca4,SHP_edificacao_JACANA.zip,edificacoes
76,3550308,BR-SP-SaoPaulo,35,e2b0f82c7389fb74be8261b130c79852dc5af12ade412b5804340116a2a9cae5,SHP_edificacao_JAGUARA.zip,edificacoes
77,3550308,BR-SP-SaoPaulo,35,38e5dff9a22399a763a6e6432656b1249ca3e9cf9a6658d7ec6cefa9e12bc1f1,SHP_edificacao_JAGUARE.zip,edificacoes
78,3550308,BR-SP-SaoPaulo,35,a22d8b382f03c9d60496e128ea280e462f8180444fe69aa18859cff92b63de90,SHP_edificacao_JARAGUA.zip,edificacoes
79,3550308,BR-SP-SaoPaulo,35,2f7448f9e772c0cf34e7baa992e9a4fabf76f387f45966be0c2248064d6fb107,SHP_edificacao_JARDIM_ANGELA.zip,edificacoes
80,3550308,BR-SP-SaoPaulo,35,d7413f57760e0840b8f74ffa97aba648d7af76ca302396819aeafeeb29730f15,SHP_edificacao_JARDIM_HELENA.zip,edificacoes
81,3550308,BR-SP-SaoPaulo,35,9a3a628c0280ca938573070e3fde82df6ba7229e70902b7a9b8d0d4a420570b2,SHP_edificacao_JARDIM_PAULISTA.zip,edificacoes
